id	filename	md5	size	state
03d18286-1038-4c0c-9c05-d1269e280250	03d18286-1038-4c0c-9c05-d1269e280250/8bfd50fb-d6d8-44cd-a492-1e0a983e40b6.rna_seq.augmented_star_gene_counts.tsv	49b43a7ed0c5692386f398dbb7c8b25a	4246254	validated
06227b3b-56d0-4657-bb37-8f56a3dc15f7	06227b3b-56d0-4657-bb37-8f56a3dc15f7/3574e83f-a983-425b-9082-63d5a32c01d6.rna_seq.augmented_star_gene_counts.tsv	c6d971a258c32aec1cb6013e48754733	4235175	validated
06598222-e18b-45b1-9e4b-407aa120442c	06598222-e18b-45b1-9e4b-407aa120442c/a5ecc76e-a696-4e90-8bb4-7a9965e2f8a8.rna_seq.augmented_star_gene_counts.tsv	df788459dc7b8a1180ac0b6fe64d7fe5	4233551	validated
068841a8-af6a-4925-bad0-586005f59521	068841a8-af6a-4925-bad0-586005f59521/f09cc0c7-2896-479b-84db-401f14780092.rna_seq.augmented_star_gene_counts.tsv	24e84b3f1e1c0eca38d049576cd53385	4238099	validated
06fc39a9-8059-4ac7-9b2b-64f6c7d3b8a1	06fc39a9-8059-4ac7-9b2b-64f6c7d3b8a1/d826d551-cb0f-4d0e-b21d-a7b0c9010a62.rna_seq.augmented_star_gene_counts.tsv	5e3b2e0edf35596cab243856b3315297	4241716	validated
0a688b9b-06ea-4b83-bfce-9cee0d866a0c	0a688b9b-06ea-4b83-bfce-9cee0d866a0c/b2bcfd01-9662-4730-96de-1e51b4038802.rna_seq.augmented_star_gene_counts.tsv	bad787cba50515b91198b99c393f093b	4230199	validated
0a7421d4-5722-427a-9643-da1074e5c25c	0a7421d4-5722-427a-9643-da1074e5c25c/83f93d3f-d038-4773-a671-0f218f53821c.rna_seq.augmented_star_gene_counts.tsv	ded910118e9a4b6fdbcbb4c044b91df9	4242686	validated
0c279a15-1250-4923-bcde-96cc3fd32d42	0c279a15-1250-4923-bcde-96cc3fd32d42/b72689a1-2c14-49db-b489-f1627353a024.rna_seq.augmented_star_gene_counts.tsv	bc14210e6d81f961f1e8649597486a8d	4225248	validated
0d140db1-dc0d-431d-b389-846d05bbb827	0d140db1-dc0d-431d-b389-846d05bbb827/d0ee5ff7-a49a-4633-93a6-40c9e29fb0b7.rna_seq.augmented_star_gene_counts.tsv	26025025d0192577ed275c5b45044abc	4243387	validated
0e1999e0-9c02-4804-88b6-60b46d100739	0e1999e0-9c02-4804-88b6-60b46d100739/db5dab56-838e-4784-a7cf-f05296e356f7.rna_seq.augmented_star_gene_counts.tsv	331108d6b22c2bddaf114649f714c220	4250358	validated
